naf_version,code,niveau_defense,nature_dualite,famille,justification,nature_preuve,usages_civils,usages_defense,source_url,source_reference,source_secondaire_url,source_secondaire_reference,niveau_confiance,commentaire
NAF rév.2,26.51A,dual_officiel,dual_naf_explicite,optique_instruments,"La note officielle Insee de la sous-classe couvre à la fois les instruments de navigation civils (aérienne, maritime) et des matériels explicitement militaires : conduite de tir, autodirecteurs de missiles, contre-mesures électroniques.",note_officielle_insee,"Instruments de navigation aérienne et maritime civiles, radars civils (contrôle aérien, météorologie)","Matériels militaires de conduite du tir, autodirecteurs de missiles, contre-mesures électroniques (cités par la note officielle Insee)",https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/26.51A,INSEE — NAF rév.2 — sous-classe 26.51A (notes explicatives),https://www.insee.fr/fr/metadonnees/cpfr21/sousCategorie/26.51.20,INSEE — CPF rév. 2.1 — 26.51.20 (appareils radar et de radionavigation),élevé,Exemple pédagogique de la dualité : la même sous-classe couvre l'avionique civile et l'autodirecteur de missile.
NAF rév.2,26.70Z,dual_officiel,dual_naf_explicite,optique_instruments,"La même sous-classe couvre des matériels optiques civils (jumelles, microscopes, objectifs) et, d'après la nomenclature de produits associée (CPF 26.70), la fabrication de matériel de visée optique équipant les fusils.",note_officielle_insee,"Jumelles, longues-vues, microscopes, objectifs et matériel photographique",Matériel de visée optique équipant les armes ; optronique,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/26.70Z,INSEE — NAF rév.2 — sous-classe 26.70Z,https://www.insee.fr/fr/metadonnees/cpfr21/classe/26.70,INSEE — CPF rév. 2.1 — classe 26.70 (matériel optique et photographique),élevé,
NAF rév.2,20.51Z,dual_officiel,dual_naf_explicite,armement,"Le périmètre officiel réunit des produits civils (explosifs de mines et carrières, artifices de divertissement et de signalisation) et les poudres propulsives et propergols, indissociables des munitions.",note_officielle_insee,"Explosifs civils (mines, carrières, travaux publics), artifices de divertissement et de signalisation",Poudres propulsives et propergols pour munitions et autopropulsion,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/20.51Z,INSEE — NAF rév.2 — sous-classe 20.51Z,https://www.insee.fr/fr/metadonnees/cpfr21/sousCategorie/20.51.11,INSEE — CPF rév. 2.1 — 20.51.11 (poudres propulsives et produits explosifs préparés),élevé,En NAF 2025 ce périmètre change de code ; l'extrait de table de correspondance du site ne le couvre pas.
NAF rév.2,26.11Z,dual_officiel,dual_refd_observe,electronique,"Le secteur des produits informatiques, électroniques et optiques est le deuxième secteur industriel des entreprises de défense recensées par l'enquête EDIS du ministère des Armées (adossée au répertoire REFD), alors que l'essentiel de ses débouchés est civil. L'électronique relève par ailleurs des catégories de biens à double usage de l'annexe I du règlement (UE) 2021/821.",enquete_ssm_refd,"Électronique grand public, automobile, télécoms, équipements industriels","Composants pour systèmes d'armes, radars, guerre électronique, communications militaires",https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/26.11Z,INSEE — NAF rév.2 — sous-classe 26.11Z,https://www.defense.gouv.fr/sites/default/files/ssm/EcoDef%20265%20-%20EDIS%202023.pdf,"Ministère des Armées — SSM/OED, EcoDef Statistiques n°265 (enquête EDIS)",moyen,Observer des fournisseurs de la Défense dans ce code ne signifie pas que toutes les entreprises du code travaillent pour la Défense.
NAF rév.2,26.12Z,dual_officiel,dual_refd_observe,electronique,"Le secteur des produits informatiques, électroniques et optiques est le deuxième secteur industriel des entreprises de défense recensées par l'enquête EDIS du ministère des Armées (adossée au REFD), alors que l'essentiel de ses débouchés est civil. Les cartes et assemblages électroniques relèvent des catégories de biens à double usage de l'annexe I du règlement (UE) 2021/821.",enquete_ssm_refd,"Cartes électroniques pour l'industrie, l'automobile, les télécoms et l'électronique grand public","Cartes et assemblages électroniques pour systèmes militaires (radars, missiles, communications)",https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/26.12Z,INSEE — NAF rév.2 — sous-classe 26.12Z,https://www.defense.gouv.fr/sites/default/files/ssm/EcoDef%20265%20-%20EDIS%202023.pdf,"Ministère des Armées — SSM/OED, EcoDef Statistiques n°265 (enquête EDIS)",moyen,Observer des fournisseurs de la Défense dans ce code ne signifie pas que toutes les entreprises du code travaillent pour la Défense.
NAF rév.2,26.20Z,dual_officiel,dual_refd_observe,electronique,"Le secteur des produits informatiques, électroniques et optiques est le deuxième secteur industriel des entreprises de défense recensées par l'enquête EDIS du ministère des Armées (adossée au REFD), alors que l'essentiel de ses débouchés est civil. Les calculateurs relèvent de la catégorie 4 (« calculateurs ») de l'annexe I du règlement (UE) 2021/821 sur les biens à double usage.",enquete_ssm_refd,"Ordinateurs et serveurs pour les entreprises, les administrations et le grand public",Calculateurs embarqués et systèmes d'information militaires,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/26.20Z,INSEE — NAF rév.2 — sous-classe 26.20Z,https://www.defense.gouv.fr/sites/default/files/ssm/EcoDef%20265%20-%20EDIS%202023.pdf,"Ministère des Armées — SSM/OED, EcoDef Statistiques n°265 (enquête EDIS)",moyen,Observer des fournisseurs de la Défense dans ce code ne signifie pas que toutes les entreprises du code travaillent pour la Défense.
NAF rév.2,26.30Z,dual_officiel,dual_refd_observe,electronique,"Le secteur des produits informatiques, électroniques et optiques est le deuxième secteur industriel des entreprises de défense recensées par l'enquête EDIS du ministère des Armées (adossée au REFD), alors que l'essentiel de ses débouchés est civil. Les équipements de communication relèvent de la catégorie 5 (« télécommunications et sécurité de l'information ») de l'annexe I du règlement (UE) 2021/821.",enquete_ssm_refd,"Équipements de réseaux et de radiocommunication civils (téléphonie, radiodiffusion, réseaux d'entreprise)",Systèmes de communication militaires et radios tactiques,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/26.30Z,INSEE — NAF rév.2 — sous-classe 26.30Z,https://www.defense.gouv.fr/sites/default/files/ssm/EcoDef%20265%20-%20EDIS%202023.pdf,"Ministère des Armées — SSM/OED, EcoDef Statistiques n°265 (enquête EDIS)",moyen,Observer des fournisseurs de la Défense dans ce code ne signifie pas que toutes les entreprises du code travaillent pour la Défense.
NAF rév.2,72.19Z,dual_officiel,dual_source_defense,recherche,"Le ministère des Armées organise explicitement le financement d'une R&D duale : le dispositif RAPID (Régime d'Appui pour l'Innovation Duale), porté par la DGA et l'Agence de l'innovation de défense, subventionne des projets de recherche à applications à la fois civiles et militaires portés par des entreprises.",dispositif_ministeriel,"Recherche appliquée pour l'industrie, la santé, l'énergie ou le spatial civils",Projets de R&D duale soutenus par la DGA et l'Agence de l'innovation de défense (dispositif RAPID),https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/72.19Z,INSEE — NAF rév.2 — sous-classe 72.19Z,https://www.defense.gouv.fr/aid,Ministère des Armées — Agence de l'innovation de défense (dispositif RAPID),moyen,"La qualification porte sur le domaine d'activité, pas sur chaque laboratoire : en NAF 2025, l'activité se répartit entre 72.10G et 72.10H."
NAF rév.2,84.22Z,administration_defense,,administration,"Le libellé « Défense » désigne l'administration de la défense nationale par la sphère publique. AVERTISSEMENT : ce code ne désigne PAS les entreprises industrielles de défense.",libelle_officiel,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/84.22Z,INSEE — NAF rév.2 — sous-classe 84.22Z,,,élevé,"Même nature que 84.22Y en NAF 2025 : administration publique (armées, ministère), pas les industriels."
NAF rév.2,71.12B,piste_dualite,dual_a_confirmer,ingenierie,"L'ingénierie et les études techniques irriguent les programmes d'armement comme les marchés civils, et le secteur des services apparaît dans le périmètre de l'enquête EDIS (« industrie et services »). Mais aucune source publique consultée ne détaille la part de cette sous-classe précise chez les fournisseurs de la Défense.",enquete_ssm_refd,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/71.12B,INSEE — NAF rév.2 — sous-classe 71.12B,,,piste,Non affichée comme duale validée : preuve publique insuffisante au niveau de la sous-classe.
NAF rév.2,62.01Z,piste_dualite,dual_a_confirmer,numerique,"Le logiciel est présent dans la plupart des systèmes de défense et le secteur des services entre dans le périmètre de l'enquête EDIS. Mais aucune source publique consultée ne documente la part de cette sous-classe précise chez les fournisseurs de la Défense.",enquete_ssm_refd,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/62.01Z,INSEE — NAF rév.2 — sous-classe 62.01Z,,,piste,Non affichée comme duale validée : preuve publique insuffisante au niveau de la sous-classe.
NAF rév.2,61.30Z,piste_dualite,dual_a_confirmer,electronique,"Les télécommunications par satellite servent des usages civils et gouvernementaux, y compris militaires. Mais la preuve publique au niveau de cette sous-classe (opérateurs) n'a pas été réunie : les équipements relèvent d'autres codes.",libelle_officiel,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/61.30Z,INSEE — NAF rév.2 — sous-classe 61.30Z,,,piste,Non affichée comme duale validée : preuve publique insuffisante au niveau de la sous-classe.
NAF rév.2,71.20B,piste_dualite,dual_a_confirmer,ingenierie,"Les analyses, essais et inspections techniques interviennent dans la qualification des matériels civils comme militaires. Mais aucune source publique consultée ne documente la part de cette sous-classe précise chez les fournisseurs de la Défense.",enquete_ssm_refd,,,https://www.insee.fr/fr/metadonnees/nafr2/sousClasse/71.20B,INSEE — NAF rév.2 — sous-classe 71.20B,,,piste,Non affichée comme duale validée : preuve publique insuffisante au niveau de la sous-classe.
NAF 2025,71.12Y,piste_dualite,dual_a_confirmer,ingenierie,"L'ingénierie et le conseil technique irriguent les programmes d'armement comme les marchés civils, et le secteur des services apparaît dans le périmètre de l'enquête EDIS (« industrie et services »). Mais aucune source publique consultée ne détaille la part de cette sous-classe précise chez les fournisseurs de la Défense.",enquete_ssm_refd,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/71.12Y,INSEE — NAF 2025 — sous-classe 71.12Y,,,piste,Non affichée comme duale validée : preuve publique insuffisante au niveau de la sous-classe.
NAF 2025,62.10Y,piste_dualite,dual_a_confirmer,numerique,"Le logiciel est présent dans la plupart des systèmes de défense et le secteur des services entre dans le périmètre de l'enquête EDIS. Mais aucune source publique consultée ne documente la part de cette sous-classe précise chez les fournisseurs de la Défense.",enquete_ssm_refd,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/62.10Y,INSEE — NAF 2025 — sous-classe 62.10Y,,,piste,Non affichée comme duale validée : preuve publique insuffisante au niveau de la sous-classe.
NAF 2025,71.20H,piste_dualite,dual_a_confirmer,ingenierie,"Les activités de contrôle et d'analyses techniques interviennent dans la qualification des matériels civils comme militaires. Mais aucune source publique consultée ne documente la part de cette sous-classe précise chez les fournisseurs de la Défense.",enquete_ssm_refd,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/71.20H,INSEE — NAF 2025 — sous-classe 71.20H,,,piste,Non affichée comme duale validée : preuve publique insuffisante au niveau de la sous-classe.
